type,amount,otherPlayer,player,time
Postage,690,Anon12141,Bluemage,1769459039
Repair Bill,21395,Merchant,Bluemage,1769773822
Postage,30,Anon12142,Bluemage,1769993754
Postage,360,Anon12141,Bluemage,1770364690
Postage,210,Donnytrump,Bluemage,1770386730
Postage,150,Donnytrump,Bluemage,1770427457
Postage,210,Donnytrump,Bluemage,1770455030
Postage,30,Donnytrump,Bluemage,1770792675
Money Transfer,8000000,Donnytrump,Bluemage,1770852426
Postage,360,Donnytrump,Bluemage,1771010848
Postage,60,Anon12143,Bluemage,1771034909
Postage,120,Anon12144,Bluemage,1771072153
Postage,30,Anon12143,Bluemage,1771106682
Postage,30,Donnytrump,Bluemage,1771106722
Postage,30,Samaltmann,Candyowens,1771138673
Postage,60,Anon12145,Bluemage,1771234434
Postage,570,Bluemage,Clickyportal,1771252285
Postage,120,Anon12143,Bluemage,1771326211
Postage,30,Anon12143,Bluemage,1771791868
Money Transfer,4000000,Anon12143,Bluemage,1772032206
Postage,30,Bluemage,Clickyportal,1772044549
Money Transfer,2220000,Anon12143,Bluemage,1772171862
Money Transfer,1510000,Donnytrump,Bluemage,1772171905
Money Transfer,100000,Donnytrump,Bluemage,1772344136
Repair Bill,24928,Merchant,Bluemage,1772395432
Postage,1710,Clickyportal,Bluemage,1772828298
Postage,540,Clickyportal,Bluemage,1772999341
Money Transfer,40000,Anon1117,Bluemage,1773108167
Postage,840,Candyowens,Bluemage,1773122328
Postage,30,Anon917,Bluemage,1773131535
Postage,30,Anon917,Bluemage,1773217648
Postage,210,Anon12143,Clickyportal,1773222258
Postage,30,Anon1117,Bluemage,1773450520
Postage,30,Anon1117,Bluemage,1773542515
Money Transfer,50000,Anon1117,Bluemage,1773619454
Postage,30,Anon1117,Bluemage,1773619454
Postage,30,Anon1117,Bluemage,1773947102
Repair Bill,15188,Merchant,Bluemage,1773987870
Postage,600,Clickyportal,Bluemage,1774064341
Postage,30,Anon1117,Bluemage,1774174201
Postage,90,Clickyportal,Bluemage,1774240923
Postage,270,Candyowens,Bluemage,1774316174
Postage,360,Candyowens,Bluemage,1774352938
Postage,720,Candyowens,Clickyportal,1774353170
Postage,120,Candyowens,Bluemage,1774433294
Postage,330,Candyowens,Bluemage,1774464298
Postage,150,Candyowens,Bluemage,1774489563
Postage,150,Candyowens,Bluemage,1774510208
Postage,60,Candyowens,Bluemage,1774627091
Postage,30,Candyowens,Bluemage,1774628473
Postage,30,Candyowens,Bluemage,1774643554
Postage,960,Anon12146,Candyowens,1774648216
Postage,60,Candyowens,Bluemage,1774678868
Postage,30,Bluemage,Candyowens,1774740608
Postage,90,Donnytrump,Bluemage,1774748417
Postage,30,Donnytrump,Bluemage,1774755337
Postage,90,Candyowens,Bluemage,1774769836
Postage,120,Anon12143,Bluemage,1774778900
Postage,150,Anon12143,Bluemage,1774861765
Money Transfer,1000000,Donnytrump,Bluemage,1774870925
Postage,750,Candyowens,Bluemage,1774941596
Postage,570,Candyowens,Bluemage,1775038413
Postage,390,Candyowens,Bluemage,1775148658
Postage,30,Clickyportal,Bluemage,1775164740
Money Transfer,250000,Anon12147,Bluemage,1775191905
Postage,270,Candyowens,Bluemage,1775343887
Postage,30,Anon12143,Bluemage,1775364153
Postage,390,Samaltmann,Candyowens,1775379493
Postage,270,Anon12143,Bluemage,1775390195
Postage,30,Anon12143,Clickyportal,1775413968
Postage,60,Anon12143,Bluemage,1775440188
Repair Bill,1711,Merchant,Bluemage,1775442592
Postage,180,Candyowens,Bluemage,1775449012
Postage,30,Donnytrump,Bluemage,1775457874
Money Transfer,1000000,Donnytrump,Bluemage,1775526555
Postage,60,Samaltmann,Bluemage,1775545281
Postage,360,Candyowens,Bluemage,1775556257
Postage,720,Clickyportal,Bluemage,1775603746
Postage,120,Candyowens,Bluemage,1775619041
Postage,930,Samaltmann,Candyowens,1775628227
Postage,30,Candyowens,Bluemage,1775633234
Postage,120,Candyowens,Bluemage,1775636081
Postage,3120,Candyowens,Clickyportal,1775636723
Money Transfer,1000000,Samaltmann,Candyowens,1775637562
Postage,180,Samaltmann,Bluemage,1775637681
Postage,30,Anon12143,Samaltmann,1775637903
Postage,1560,Clickyportal,Candyowens,1775638136
Repair Bill,22756,Merchant,Bluemage,1775707169
Postage,120,Clickyportal,Bluemage,1775884459
Postage,360,Clickyportal,Bluemage,1775990910
Postage,30,Anon12148,Bluemage,1775991535
Postage,90,Clickyportal,Bluemage,1776059821
Postage,270,Clickyportal,Bluemage,1776063463
Postage,360,Bluemage,Candyowens,1776063516
Money Transfer,400000,Donnytrump,Samaltmann,1776063857
Postage,360,Clickyportal,Bluemage,1776064001
Repair Bill,57611,Merchant,Bluemage,1776075911
Money Transfer,100000,Donnytrump,Bluemage,1776111529
Postage,360,Clickyportal,Bluemage,1776160304
Postage,60,Samaltmann,Bluemage,1776160423
Postage,180,Anon12143,Bluemage,1776167544
Money Transfer,5000000,Bluemage,Candyowens,1776168034
Postage,360,Bluemage,Clickyportal,1776168159
Postage,210,Clickyportal,Bluemage,1776169384
Postage,150,Clickyportal,Bluemage,1776172119
Postage,210,Clickyportal,Bluemage,1776235799
Postage,480,Anon12143,Bluemage,1776236250
Postage,2580,Candyowens,Clickyportal,1776249308
Money Transfer,100000,Clickyportal,Candyowens,1776249477
Postage,360,Clickyportal,Candyowens,1776249477
Money Transfer,270000,Bluemage,Candyowens,1776251125
Money Transfer,90000,Bluemage,Clickyportal,1776251167
Postage,30,Candyowens,Bluemage,1776311525
Postage,30,Candyowens,Bluemage,1776315798
Money Transfer,283100,Bluemage,Candyowens,1776377436
Postage,30,Bluemage,Candyowens,1776377436
Postage,150,Candyowens,Bluemage,1776412294
Money Transfer,260000,Bluemage,Candyowens,1776417208
Postage,30,Bluemage,Candyowens,1776417208
Postage,180,Clickyportal,Bluemage,1776412918
Postage,30,Clickyportal,Bluemage,1776422749
Postage,540,Clickyportal,Bluemage,1776498078
Postage,300,Clickyportal,Bluemage,1776510048
Postage,1230,Anon12143,Clickyportal,1776510094
Postage,210,Clickyportal,Bluemage,1776560435
Postage,60,Candyowens,Bluemage,1776714984
Money Transfer,200000,Anon12143,Bluemage,1776716293
Postage,30,Anon12149,Bluemage,1776748827
Postage,270,Anon12143,Bluemage,1776769346
Postage,90,Anon12143,Bluemage,1776788212
Postage,450,Anon12143,Bluemage,1776843927
Postage,30,Anon11733,Bluemage,1777268140
Postage,300,Anon12143,Bluemage,1777354441
Postage,750,Anon12143,Bluemage,1777444376
Postage,540,Bluemage,Clickyportal,1777498714
Postage,2670,Anon12143,Clickyportal,1777527043
Postage,390,Anon12143,Bluemage,1777534054
Postage,300,Anon12143,Bluemage,1777535978
Money Transfer,500000,Anon12143,Bluemage,1777569342
Money Transfer,1000000,Anon12143,Bluemage,1777598772
