type,amount,otherPlayer,player,time
Money Transfer,250000,Bluemage,Clickyportal,1776510108
Money Transfer,100000,Donnytrump,Clickyportal,1773222353
Money Transfer,1000000,Candyowens,Samaltmann,1775637563
Money Transfer,3000000,Donnytrump,Bluemage,1776073641
Money Transfer,5000000,Candyowens,Bluemage,1776168036
Money Transfer,283100,Candyowens,Bluemage,1776377443
Money Transfer,260000,Candyowens,Bluemage,1776417210
Money Transfer,500000,Donnytrump,Bluemage,1776417540
Money Transfer,100000,Donnytrump,Bluemage,1776418779
Money Transfer,100000,Candyowens,Clickyportal,1776249481
Money Transfer,75000,Anon984,Bluemage,1776047336
Money Transfer,100000,Anon3374,Bluemage,1775176392
Money Transfer,80000,Anon3374,Bluemage,1775082357
Money Transfer,50000,Anon1117,Bluemage,1773670486
Money Transfer,1500000,Donnytrump,Bluemage,1772031277
Money Transfer,1000000,Donnytrump,Bluemage,1771324273
Money Transfer,400000,Anon12141,Bluemage,1771128319
