itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:8079,Conjured Crystal Water,79,79,253,Anon6706,Bluemage,1769149455,Trade
i:8079,Conjured Crystal Water,118,118,169,Anon6707,Bluemage,1769149852,Trade
i:8079,Conjured Crystal Water,120,120,203,Anon6708,Bluemage,1769150977,Trade
i:8079,Conjured Crystal Water,119,119,420,Anon6709,Bluemage,1769151157,Trade
i:8079,Conjured Crystal Water,118,118,169,Anon6710,Bluemage,1769151433,Trade
i:8079,Conjured Crystal Water,87,87,229,Anon6711,Bluemage,1769152737,Trade
i:8079,Conjured Crystal Water,95,95,210,Anon6712,Bluemage,1769153136,Trade
i:8079,Conjured Crystal Water,110,110,181,Anon6713,Bluemage,1769154076,Trade
i:8079,Conjured Crystal Water,88,88,227,Anon6714,Bluemage,1769154592,Trade
i:8079,Conjured Crystal Water,60,60,166,Anon6715,Bluemage,1769154655,Trade
i:8079,Conjured Crystal Water,99,99,202,Anon6716,Bluemage,1769154884,Trade
i:8079,Conjured Crystal Water,66,66,303,Anon6717,Bluemage,1769155204,Trade
i:8079,Conjured Crystal Water,119,119,168,Anon6718,Bluemage,1769156357,Trade
i:8078,?,80,80,125,Anon6719,Bluemage,1769156713,Trade
i:8079,Conjured Crystal Water,120,120,83,Anon6720,Bluemage,1769159139,Trade
i:8079,Conjured Crystal Water,109,109,275,Anon6721,Bluemage,1769159305,Trade
i:8079,Conjured Crystal Water,20,20,2500,Anon6722,Bluemage,1769165468,Trade
i:2838,Heavy Stone,1,5,923,Anon6723,Bluemage,1769170671,Auction
i:8079,Conjured Crystal Water,60,60,333,Anon6724,Bluemage,1769193271,Trade
i:8079,Conjured Crystal Water,70,70,142,Anon6725,Bluemage,1769207103,Trade
i:22895,Conjured Cinnamon Roll,49,49,612,Anon6726,Bluemage,1769208878,Trade
i:8079,Conjured Crystal Water,112,112,89,Anon6727,Bluemage,1769209419,Trade
i:8079,Conjured Crystal Water,111,111,450,Anon6728,Bluemage,1769210292,Trade
i:8077,?,100,100,50,Anon6729,Bluemage,1769211958,Trade
i:8079,Conjured Crystal Water,99,99,303,Anon6730,Bluemage,1769212342,Trade
i:8078,?,80,80,125,Anon6731,Bluemage,1769213805,Trade
i:8079,Conjured Crystal Water,116,116,258,Anon6721,Bluemage,1769217057,Trade
i:8079,Conjured Crystal Water,89,89,337,Anon6732,Bluemage,1769217124,Trade
i:8079,Conjured Crystal Water,77,77,389,Anon6733,Bluemage,1769217269,Trade
i:8079,Conjured Crystal Water,108,108,185,Anon6734,Bluemage,1769232028,Trade
i:8079,Conjured Crystal Water,100,100,200,Anon6735,Bluemage,1769238761,Trade
i:8079,Conjured Crystal Water,120,120,166,Anon6736,Bluemage,1769239423,Trade
i:8078,?,60,60,166,Anon6737,Bluemage,1769241715,Trade
i:8079,Conjured Crystal Water,120,120,83,Anon6738,Bluemage,1769242148,Trade
i:8078,?,100,100,200,Anon6731,Bluemage,1769243580,Trade
i:22895,Conjured Cinnamon Roll,80,80,125,Anon6739,Bluemage,1769243687,Trade
i:8079,Conjured Crystal Water,120,120,166,Anon6716,Bluemage,1769244320,Trade
i:8079,Conjured Crystal Water,116,116,172,Anon6740,Bluemage,1769249236,Trade
i:8079,Conjured Crystal Water,110,110,181,Anon6741,Bluemage,1769249578,Trade
i:8079,Conjured Crystal Water,118,118,169,Anon6742,Bluemage,1769250243,Trade
i:8079,Conjured Crystal Water,118,118,254,Anon6743,Bluemage,1769250417,Trade
i:8079,Conjured Crystal Water,119,119,252,Anon6744,Bluemage,1769254644,Trade
i:8079,Conjured Crystal Water,100,100,200,Anon6745,Bluemage,1769255078,Trade
i:8079,Conjured Crystal Water,107,107,186,Anon6746,Bluemage,1769256674,Trade
i:8077,?,120,120,58,Anon6729,Bluemage,1769257030,Trade
i:8079,Conjured Crystal Water,117,117,170,Anon6747,Bluemage,1769257168,Trade
i:8079,Conjured Crystal Water,115,115,260,Anon6748,Bluemage,1769257363,Trade
i:8079,Conjured Crystal Water,99,99,202,Anon6749,Bluemage,1769257494,Trade
i:8079,Conjured Crystal Water,88,88,113,Anon6750,Bluemage,1769262457,Trade
i:22895,Conjured Cinnamon Roll,40,40,750,Anon6751,Bluemage,1769263256,Trade
i:8079,Conjured Crystal Water,77,77,129,Anon6752,Bluemage,1769301111,Trade
i:8079,Conjured Crystal Water,99,99,505,Anon6753,Bluemage,1769301944,Trade
i:22895,Conjured Cinnamon Roll,60,60,166,Anon6754,Bluemage,1769302514,Trade
i:8079,Conjured Crystal Water,60,60,333,Anon6755,Bluemage,1769302996,Trade
i:8079,Conjured Crystal Water,64,64,781,Anon6756,Bluemage,1769303127,Trade
i:8077,?,60,60,16,Anon6757,Bluemage,1769304459,Trade
i:8079,Conjured Crystal Water,108,108,185,Anon6758,Bluemage,1769305800,Trade
i:11039,Formula: Enchant Cloak - Minor Agility,1,1,12241,Anon6759,Bluemage,1769300398,Auction
i:8079,Conjured Crystal Water,116,116,86,Anon6713,Bluemage,1769307252,Trade
i:22895,Conjured Cinnamon Roll,60,60,833,Anon6760,Bluemage,1769307271,Trade
